politics_party_name
พรรคสามัญชน
พรรคพลังไทยรักชาติ
พรรคไทยธรรม
พรรคไทยสมาร์ท
พรรคพลังสังคมใหม่
พรรคไทยศรีวิไลย์
พรรคสังคมประชาธิปไตยไทย
พรรคถิ่นกาขาวชาววิไล
พรรคพลังประชาธิปไตย
พรรคเส้นด้าย
พรรคช่วยชาติ
พรรคภูมิใจไทย
พรรคประชาธิปไตยใหม่
พรรครวมใจไทย
พรรครวมพลัง
พรรคประชาภิวัฒน์
พรรคเพื่อชาติไทย
พรรคเปลี่ยนอนาคต
พรรคไทยก้าวหน้า
พรรคเป็นธรรม
พรรคประชากรไทย
พรรคแนวทางใหม่
พรรคพลัง
พรรคพลังประชารัฐ
พรรคไทยภักดี
พรรคเสรีรวมไทย
พรรคชาติไทยพัฒนา
พรรคใหม่
พรรคพลังสหกรณ์
พรรคอนาคตไทย
พรรคเพื่อไทรวมพลัง
พรรคพลังธรรมใหม่
พรรคไทยชนะ
พรรคภาคีเครือข่ายไทย
พรรคเปลี่ยน
พรรคไทยรวมไทย
พรรครวมแผ่นดิน
พรรคราษฎร์วิถี
พรรคประชาชาติ
พรรคเพื่อชาติ
พรรคมิติใหม่
พรรคชาติพัฒนากล้า
พรรคท้องที่ไทย
พรรคชาติรุ่งเรือง
พรรคไทยสร้างไทย
พรรคพลังปวงชนไทย
พรรคคลองไทย
พรรคพลังสยาม
พรรคเสมอภาค
พรรคพลังสังคม
พรรคครูไทยเพื่อประชาชน
พรรคความหวังใหม่
พรรครวมไทยสร้างชาติ
พรรคไทยพร้อม
พรรคทางเลือกใหม่
พรรคแรงงานสร้างชาติ
พรรคเพื่ออนาคตไทย
พรรคกรีน
พรรคแผ่นดินธรรม
พรรคไทยเป็นหนึ่ง
พรรคเพื่อไทย
พรรคพลังเพื่อไทย
พรรคประชาไทย
พรรครักษ์ผืนป่าประเทศไทย
พรรคภราดรภาพ
พรรคก้าวไกล
พรรคประชาธิปัตย์
